"","status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code"
"1","940253236321226752",2017-12-11 16:13:35,"161698693","HoCoGov","REMINDER: @HoCoGovExec 1st Citizens’ Budget Hearing for FY2019 budget cycle is 2night, 12/11 #HoCoMD at 7 pm in the Banneker Room of the George Howard Building, 3430 Court House Dr, #EllicottCityMD. Details at https://t.co/SLh4eZH4oh.","TweetDeck",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","940244406560591874",2017-12-11 15:38:30,"17410438","HoCoBlogs","RT @HoCoConnect: Aldi's and Shake Shack opening in Columbia soon https://t.co/BAOaC4m2Vl #HoCoMd","Hootsuite",NA,NA,NA,FALSE,TRUE,0,1,"en",NA,NA,"940215128229924864","Aldi's and Shake Shack opening in Columbia soon https://t.co/BAOaC4m2Vl #HoCoMd",NA,NA,NA,NA,NA,NA
"3","940238786306375682",2017-12-11 15:16:10,"878343959847817216","SpartanConsider","Maryland Gubernatorial Musings:

https://t.co/G1CjuL17mx

#HoCoMD #HoCoElections #HoCoPolitics","Twitter Web Client",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","940238763598413825",2017-12-11 15:16:04,"3187516635","HoCoGovExec","Dropping by the Dorsey Building for the annual Holiday Hallway Breakfast. Thanks to our Project SEARCH interns for making me pancakes! #HoCoMD https://t.co/Zcch0zSJwi","Twitter Web Client",NA,NA,NA,FALSE,FALSE,0,1,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","940236888702636033",2017-12-11 15:08:37,"928674169","AlehouseCol","Here's a look at our hours for the upcoming #holidays! #HoCoMD https://t.co/C8i0WyyPWv","TweetDeck",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","940227615989944322",2017-12-11 14:31:46,"814685539198795778","funfitnessfam","RT @NottinghamsMD: Ugly Sweater Party - December 15th.
Cash Prizes!!!
#HoCoEvents #ColumbiaMD https://t.co/MfxGjq2eGe","Hootsuite",NA,NA,NA,FALSE,TRUE,0,1,"en",NA,NA,"939969240886636544","Ugly Sweater Party - December 15th.
Cash Prizes!!!
#HoCoEvents #ColumbiaMD https://t.co/MfxGjq2eGe",NA,NA,NA,NA,NA,NA
"7","940227308983644160",2017-12-11 14:30:33,"130555211","scottesoftware","After your website is launched...we make sure your site remains protected, backed up and online. https://t.co/JRq8lI2zXY 
#Web #HoCoMD https://t.co/3E8r25MzjY","Hootsuite",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","940222163621163008",2017-12-11 14:10:06,"61502851","terriwesterlund","Manor #home set on 3+ acres of privacy! The floor plan is open w/sliding glass doors along back of the home. Perfect for homeowners who appreciate exquisite craftsmanship!

13100 BRIGHTON DAM RD, CLARKSVILLE, MD
 $1,000,000 
#hocomd #realestate #listing #buyerwanted #lereve https://t.co/naYlomB9AJ","Hootsuite",NA,NA,NA,FALSE,FALSE,1,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","940215128229924864",2017-12-11 13:42:09,"259504897","HoCoConnect","Aldi's and Shake Shack opening in Columbia soon https://t.co/BAOaC4m2Vl #HoCoMd","Twitter Web Client",NA,NA,NA,FALSE,FALSE,0,1,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","940208817819803648",2017-12-11 13:17:05,"847807825","UUColumbia","SUPPORT GROUP Dec 11 6:30pm NAMI Support Group #HoCoMD #MentalHealth #MentalHealthAwareness @NAMIHowardCo https://t.co/KyFSiUh5XK","Buffer",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","940195188181557248",2017-12-11 12:22:55,"2830938240","_hackground_","#Hocomd #demystifyingstem #firstinspires #experientiallearning #ftcteams team11553 #autonomous @… https://t.co/4dLIrFmUYE","Instagram",NA,NA,NA,FALSE,FALSE,0,0,"en",NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/012132305c17a818.json","Fulton","Fulton, MD","city","United States","US"
"12","940179959854792704",2017-12-11 11:22:24,"14810569","macsmom","“Transforming the Message” https://t.co/OVm5haFgUn #hocoschools #socialmedia #hocomd","Twitter for iPad",NA,NA,NA,FALSE,FALSE,2,0,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","940106299349405696",2017-12-11 06:29:42,"2572041914","ECpix","RT @Charles08950590: One month ago today Wilde Lake.   What a difference in a month!

#hocomd #columbiamd #MD
#hocoparks #landscapephotogra…","Twitter for iPad",NA,NA,NA,FALSE,TRUE,0,1,"en",NA,NA,"940062033734549509","One month ago today Wilde Lake.   What a difference in a month!

#hocomd #columbiamd #MD
#hocoparks #landscapephotography
#autumn #fall #NaturePhotography #NaturePhotography
#WildeLake #fallwalk #lake #naturelovers #landscape
#lake #ParksandRec https://t.co/SbmDgOcdaB",NA,NA,NA,NA,NA,NA
"14","940097485124526080",2017-12-11 05:54:41,"2371032096","FireChiefWest","RT @HCDFRSChief: Lt. Sander Cohen and @MarylandOSFM Westminster Office worked cases in #HoCoMd with @HCDFRS on occasion. https://t.co/93i2O…","Twitter for iPhone",NA,NA,NA,FALSE,TRUE,0,7,"en",NA,NA,"939561875246845954","Lt. Sander Cohen and @MarylandOSFM Westminster Office worked cases in #HoCoMd with @HCDFRS on occasion. https://t.co/93i2OpZixs",NA,NA,NA,NA,NA,NA
"15","940077746977247233",2017-12-11 04:36:15,"722114848427933697","felixfsantistev","RT https://t.co/7FWzHPC6WO One month ago today Wilde Lake. What a difference in a month! #hocomd #columbiamd #MD #hocoparks #landscapephotography #autumn #fall #NaturePhotography #NaturePh… https://t.co/XJXRvGsqnT","IFTTT",NA,NA,NA,TRUE,FALSE,0,0,"en","940062033734549509","One month ago today Wilde Lake.   What a difference in a month!

#hocomd #columbiamd #MD
#hocoparks #landscapephotography
#autumn #fall #NaturePhotography #NaturePhotography
#WildeLake #fallwalk #lake #naturelovers #landscape
#lake #ParksandRec https://t.co/SbmDgOcdaB",NA,NA,NA,NA,NA,NA,NA,NA
